trimestre,año,sst_total,anomalia,estado_enso
ASO,1987,28.24,1.65,El Niño
SON,1987,28.03,1.48,El Niño
OND,1987,27.76,1.25,El Niño
NDJ,1987,27.59,1.11,El Niño
DJF,1988,27.34,0.81,El Niño
JFM,1988,27.29,0.54,El Niño
FMA,1988,27.27,0.14,Neutro
MAM,1988,27.15,-0.31,Neutro
AMJ,1988,26.69,-0.88,La Niña
MJJ,1988,26.08,-1.3,La Niña
JJA,1988,25.74,-1.3,La Niña
JAS,1988,25.65,-1.11,La Niña
ASO,1988,25.4,-1.19,La Niña
SON,1988,25.07,-1.48,La Niña
OND,1988,24.71,-1.8,La Niña
NDJ,1988,24.63,-1.85,La Niña
DJF,1989,24.84,-1.69,La Niña
JFM,1989,25.32,-1.43,La Niña
FMA,1989,26.04,-1.08,La Niña
MAM,1989,26.64,-0.83,La Niña
AMJ,1989,26.99,-0.58,La Niña
MJJ,1989,26.97,-0.4,Neutro
JJA,1989,26.73,-0.31,Neutro
JAS,1989,26.48,-0.27,Neutro
ASO,1989,26.35,-0.24,Neutro
SON,1989,26.33,-0.22,Neutro
OND,1989,26.34,-0.16,Neutro
NDJ,1989,26.43,-0.05,Neutro
DJF,1990,26.67,0.14,Neutro
JFM,1990,26.96,0.21,Neutro
FMA,1990,27.41,0.28,Neutro
MAM,1990,27.75,0.29,Neutro
AMJ,1990,27.86,0.29,Neutro
MJJ,1990,27.68,0.31,Neutro
JJA,1990,27.37,0.33,Neutro
JAS,1990,27.13,0.38,Neutro
ASO,1990,26.98,0.39,Neutro
SON,1990,26.89,0.35,Neutro
OND,1990,26.9,0.4,Neutro
NDJ,1990,26.94,0.41,Neutro
DJF,1991,27.02,0.41,Neutro
JFM,1991,27.15,0.26,Neutro
FMA,1991,27.48,0.22,Neutro
MAM,1991,27.85,0.26,Neutro
AMJ,1991,28.16,0.45,Neutro
MJJ,1991,28.17,0.64,El Niño
JJA,1991,27.94,0.73,El Niño
JAS,1991,27.57,0.64,El Niño
ASO,1991,27.41,0.62,El Niño
SON,1991,27.54,0.79,El Niño
OND,1991,27.91,1.21,El Niño
NDJ,1991,28.18,1.53,El Niño
DJF,1992,28.39,1.71,El Niño
JFM,1992,28.52,1.63,El Niño
FMA,1992,28.73,1.48,El Niño
MAM,1992,28.88,1.29,El Niño
AMJ,1992,28.76,1.06,El Niño
MJJ,1992,28.26,0.73,El Niño
JJA,1992,27.57,0.37,Neutro
JAS,1992,27.03,0.09,Neutro
ASO,1992,26.66,-0.13,Neutro
SON,1992,26.5,-0.25,Neutro
OND,1992,26.43,-0.28,Neutro
NDJ,1992,26.52,-0.13,Neutro
DJF,1993,26.77,0.09,Neutro
JFM,1993,27.18,0.3,Neutro
FMA,1993,27.75,0.5,El Niño
MAM,1993,28.27,0.67,El Niño
AMJ,1993,28.4,0.7,El Niño
MJJ,1993,28.1,0.57,El Niño
JJA,1993,27.53,0.32,Neutro
JAS,1993,27.19,0.25,Neutro
ASO,1993,26.94,0.15,Neutro
SON,1993,26.85,0.1,Neutro
OND,1993,26.75,0.04,Neutro
NDJ,1993,26.71,0.06,Neutro
DJF,1994,26.74,0.06,Neutro
JFM,1994,26.95,0.07,Neutro
FMA,1994,27.43,0.17,Neutro
MAM,1994,27.9,0.31,Neutro
AMJ,1994,28.12,0.42,Neutro
MJJ,1994,27.94,0.41,Neutro
JJA,1994,27.65,0.44,Neutro
JAS,1994,27.37,0.43,Neutro
